name,rating,genre,release_year,movie_runtime,imdb_link
Spider-Man: Into the Spider-Verse,8.4,Computer Animation / Superhero / Supernatural Fantasy / Teen Adventure / Teen Comedy / Urban Adventure / Action / Adventure / Animation / Comedy / Action sequences / Animation style / Character development / Comedic brilliance / Family dynamics / Soundtrack / Visual innovation / Social commentary,2018,1h 57m,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_63
Witness for the Prosecution,8.4,Legal Drama / Legal Thriller / Whodunnit / Crime / Drama / Mystery / Thriller / Comedic brilliance / Dark humor / Great ensemble / Iconic performance / Narrative complexity / Suspenseful / Unpredictable,1957,1h 56m,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_64
Paths of Glory,8.4,Epic / Psychological Drama / War Epic / Drama / War / Authentic emotion / Direction / Performance / Realism / Thought-provoking / Historical accuracy / Suspenseful / Social commentary,1957,1h 28m,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_65
The Shining,8.4,Psychological Drama / Psychological Horror / Supernatural Horror / Drama / Horror / Atmospheric / Cinematography / Iconic performance / Production design / Psychological depth / Sound design / Suspenseful / Adaptation / Direction / Character development,1980,2h 26m,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_66
The Great Dictator,8.4,Parody / Satire / Slapstick / Comedy / Drama / War / Comedic brilliance / Dark humor / Enduring legacy / Iconic performance / Social commentary / Thought-provoking / Historical accuracy,1940,2h 5m,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_67
12th Fail,8.7,Docudrama / Biography / Drama / Authentic emotion / Cinematography / Direction / Family dynamics / Inspirational / Performance / Realism / Social commentary,2023,N/A,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_68
Inglourious Basterds,8.4,Dark Comedy / Period Drama / Adventure / Drama / War,2009,2h 33m,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69
Aliens,8.4,Alien Invasion / Cyberpunk / Monster Horror / Space Sci-Fi / Survival / Tragedy / Action / Adventure / Horror / Sci-Fi / Action sequences / Character development / Chemistry / Creature design / Iconic lines / Special effects / Suspenseful / Thrilling / Derivative / Pacing,1986,2h 17m,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_70
The Dark Knight Rises,8.4,Action Epic / Epic / Superhero / Action / Crime / Drama / Thriller / Cinematography / Satisfying ending / Action sequences / Ambitious / Direction / Emotional weight / Performance / Character development / Pacing / Sound design,2012,2h 44m,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71
Coco,8.4,Computer Animation / Dark Comedy / Supernatural Fantasy / Adventure / Animation / Drama / Family / Fantasy / Music / Mystery / Animation style / Authentic emotion / Character development / Comforting / Emotional weight / Family dynamics / Generational appeal / Heartfelt / Musical score / Visual spectacle,2017,1h 45m,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_72
